"","state","q2","q73","smok1","pvote16a","partyln","trump_support","support_for_div","non_south_democrat"
"6","IL","Approve","(VOL) Don't know/Refused","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"7","MN","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"15","OH","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"22","MI","Disapprove","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",0,0,0
"24","OH","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"25","IN","Disapprove","Doesn't make much difference either way","Yes","Voted","Democrat",0,0,1
"26","OH","Approve","Doesn't make much difference either way","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",1,0,0
"48","MI","Approve","A worse place to live","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"53","OH","Disapprove","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",0,0,0
"55","OH","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"67","WI","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"69","KS","(VOL) Don't know/Refused","(VOL) Don't know/Refused","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",0,0,0
"71","MO","Disapprove","A worse place to live","Yes","Did not vote (includes too young to vote)","Democrat",0,0,1
"74","IA","Disapprove","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",0,0,0
"75","WI","Disapprove","A better place to live","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"77","IL","Disapprove","Doesn't make much difference either way","No","(VOL) Refused","Democrat",0,0,1
"78","MO","Disapprove","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",0,0,0
"82","NE","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"83","MO","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"85","MN","Approve","Doesn't make much difference either way","No","Voted","Republican",1,0,0
"91","WI","Disapprove","A better place to live","Yes","Voted","Democrat",0,1,1
"92","MO","Disapprove","A better place to live","No","Voted","Democrat",0,1,1
"94","IN","Disapprove","A better place to live","(VOL) Don't know/Refused","Voted","Democrat",0,1,1
"95","OH","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"108","OH","Disapprove","A worse place to live","No","Voted","Republican",0,0,0
"122","ND","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"124","IL","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"126","MN","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"127","IA","Disapprove","A better place to live","Yes","(VOL) Refused","Democrat",0,1,1
"130","KS","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"154","OH","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"156","IA","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"157","WI","Disapprove","A better place to live","No","Voted","Democrat",0,1,1
"158","IL","Disapprove","(VOL) Don't know/Refused","(VOL) Don't know/Refused","Did not vote (includes too young to vote)","Democrat",0,0,1
"159","KS","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"162","WI","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"165","MO","Disapprove","A better place to live","Yes","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",0,1,0
"169","MN","(VOL) Don't know/Refused","A better place to live","No","(VOL) Refused","Republican",0,1,0
"170","KS","Approve","A worse place to live","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"171","KS","Approve","A worse place to live","Yes","Did not vote (includes too young to vote)","Republican",1,0,0
"179","OH","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"180","OH","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"181","MI","Approve","A worse place to live","Yes","Voted","Republican",1,0,0
"184","IL","Disapprove","A better place to live","Yes","Voted","Democrat",0,1,1
"201","MI","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"205","MN","(VOL) Don't know/Refused","A better place to live","No","Voted","Democrat",0,1,1
"209","OH","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"212","IN","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"213","OH","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"214","IL","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"218","OH","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"231","OH","Approve","A better place to live","Yes","Voted","Republican",1,1,0
"232","MI","Disapprove","A better place to live","No","Voted","Republican",0,1,0
"233","MN","Approve","Doesn't make much difference either way","Yes","Voted","Republican",1,0,0
"239","NE","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"244","WI","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"249","ND","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"251","IL","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"258","OH","Disapprove","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"260","MI","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"272","IL","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"275","MN","Disapprove","A better place to live","Yes","Voted","Democrat",0,1,1
"285","IL","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"286","OH","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"294","NE","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"296","IN","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"311","MI","Disapprove","Doesn't make much difference either way","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",0,0,0
"320","IN","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"321","OH","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"331","OH","Disapprove","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",0,0,0
"332","SD","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"336","MI","Approve","Doesn't make much difference either way","No","Did not vote (includes too young to vote)","Republican",1,0,0
"338","OH","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"342","IL","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"344","IL","Approve","A worse place to live","No","Voted","Republican",1,0,0
"345","IL","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"346","MO","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"347","KS","Approve","A worse place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"348","MO","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"349","IL","Approve","A better place to live","Yes","Voted","Republican",1,1,0
"354","ND","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"368","KS","Disapprove","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",0,0,0
"375","IA","Approve","A better place to live","Yes","Voted","Republican",1,1,0
"376","ND","Disapprove","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"402","IA","Approve","A better place to live","No","Voted","Republican",1,1,0
"414","IN","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"420","MI","Approve","A better place to live","Yes","Voted","Republican",1,1,0
"422","OH","Approve","(VOL) Don't know/Refused","No","Did not vote (includes too young to vote)","Republican",1,0,0
"423","NE","Approve","A better place to live","Yes","(VOL) Refused","Republican",1,1,0
"427","MI","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"429","OH","Disapprove","A worse place to live","No","(VOL) Refused","Democrat",0,0,1
"433","OH","Approve","A better place to live","Yes","Voted","Republican",1,1,0
"443","MI","Disapprove","A better place to live","Yes","Voted","Democrat",0,1,1
"460","MI","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
