"","state","q2","q73","smok1","pvote16a","partyln","trump_support","support_for_div","non_south_democrat"
"2","TX","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"44","TN","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"49","KY","Approve","A worse place to live","No","Voted","Republican",1,0,0
"62","TN","Approve","A better place to live","No","Voted","Republican",1,1,0
"63","TN","Approve","A worse place to live","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"65","LA","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"66","AL","Approve","Doesn't make much difference either way","Yes","(VOL) Refused","Republican",1,0,0
"70","AL","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"72","LA","Approve","(VOL) Don't know/Refused","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"73","LA","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"76","OK","Disapprove","Doesn't make much difference either way","Yes","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",0,0,0
"79","KY","Disapprove","A better place to live","Yes","Voted","Republican",0,1,0
"80","TX","Approve","A better place to live","Yes","Voted","Republican",1,1,0
"81","AL","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"84","KY","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"86","TN","Approve","A better place to live","No","Voted","Republican",1,1,0
"87","TX","Disapprove","Doesn't make much difference either way","No","Voted","Democrat",0,0,1
"88","MS","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"89","TX","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"90","AR","Approve","A worse place to live","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"93","LA","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"99","TN","Approve","A worse place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"123","TX","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"125","TX","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"128","AL","Disapprove","Doesn't make much difference either way","Yes","Voted","Democrat",0,0,1
"160","LA","Disapprove","Doesn't make much difference either way","Yes","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",0,0,0
"161","TX","Disapprove","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"163","KY","Approve","(VOL) Don't know/Refused","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"166","AL","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"167","LA","Approve","Doesn't make much difference either way","Yes","(VOL) Refused","Republican",1,0,0
"168","TX","Approve","A better place to live","Yes","(VOL) Refused","Democrat",1,1,1
"172","OK","Disapprove","A better place to live","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"182","KY","Approve","Doesn't make much difference either way","No","(VOL) Refused","(VOL) Other/Don't know/Refused",1,0,0
"223","TX","(VOL) Don't know/Refused","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",0,0,0
"237","TN","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"238","TX","(VOL) Don't know/Refused","Doesn't make much difference either way","No","Voted","Republican",0,0,0
"241","TX","Approve","(VOL) Don't know/Refused","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"243","LA","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"247","TX","Disapprove","A better place to live","No","Voted","Democrat",0,1,1
"253","LA","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"270","KY","Approve","A worse place to live","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"271","TX","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"273","LA","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"274","TN","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"278","TX","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"283","TX","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"295","OK","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"333","TX","Approve","Doesn't make much difference either way","No","Voted","Republican",1,0,0
"334","TX","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"337","LA","Approve","A better place to live","Yes","Voted","Republican",1,1,0
"339","TX","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"340","TX","Disapprove","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"341","LA","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"343","TX","Disapprove","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",0,0,0
"350","TX","Disapprove","Doesn't make much difference either way","No","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",0,0,0
"351","OK","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"353","AL","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"363","LA","Approve","(VOL) Don't know/Refused","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"365","KY","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"374","AR","Approve","A better place to live","No","Voted","Republican",1,1,0
"379","TX","Disapprove","A better place to live","No","Voted","Democrat",0,1,1
"386","TX","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"413","TN","Disapprove","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",0,0,0
"444","KY","Disapprove","A better place to live","Yes","Voted","Democrat",0,1,1
"455","KY","Approve","A better place to live","Yes","Voted","Republican",1,1,0
"462","TX","Disapprove","A better place to live","Yes","Voted","Republican",0,1,0
"481","TX","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"482","TX","Approve","Doesn't make much difference either way","No","Voted","Republican",1,0,0
"483","LA","Approve","Doesn't make much difference either way","Yes","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",1,0,0
"487","TX","Disapprove","A better place to live","Yes","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",0,1,0
"492","TX","Disapprove","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"493","OK","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"494","LA","Disapprove","A better place to live","Yes","Voted","Democrat",0,1,1
"497","AL","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"498","LA","Approve","Doesn't make much difference either way","No","(VOL) Refused","(VOL) Other/Don't know/Refused",1,0,0
"499","LA","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"501","TX","Approve","A better place to live","Yes","Voted","Republican",1,1,0
"502","TX","Disapprove","A better place to live","Yes","(VOL) Refused","Democrat",0,1,1
"503","TN","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"504","TX","Approve","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",1,1,0
"505","TX","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"506","MS","Approve","A worse place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"510","AL","Disapprove","Doesn't make much difference either way","Yes","Voted","Democrat",0,0,1
"516","TX","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"518","TX","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"522","AR","Approve","Doesn't make much difference either way","Yes","Did not vote (includes too young to vote)","Republican",1,0,0
"528","TX","Approve","A worse place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"530","MS","Disapprove","(VOL) Don't know/Refused","Yes","Voted","(VOL) Other/Don't know/Refused",0,0,0
"532","TX","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"534","TX","Approve","A worse place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"535","AR","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"545","KY","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"556","AL","Approve","A better place to live","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",1,1,0
"579","KY","Disapprove","A better place to live","Yes","Voted","Democrat",0,1,1
"580","KY","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"584","OK","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"588","OK","Approve","Doesn't make much difference either way","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",1,0,0
"589","TN","(VOL) Don't know/Refused","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"591","TN","Disapprove","A better place to live","No","Voted","Democrat",0,1,1
"594","TX","Approve","Doesn't make much difference either way","No","(VOL) Refused","(VOL) Other/Don't know/Refused",1,0,0
"595","AL","(VOL) Don't know/Refused","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"646","KY","Disapprove","A better place to live","Yes","(VOL) Refused","Democrat",0,1,1
"647","KY","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"650","KY","Disapprove","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"654","KY","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"679","KY","Disapprove","Doesn't make much difference either way","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",0,0,0
"697","KY","Disapprove","A better place to live","No","Voted","Democrat",0,1,1
"711","KY","Approve","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"727","KY","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"729","TX","Disapprove","A better place to live","Yes","(VOL) Refused","Democrat",0,1,1
"733","KY","Disapprove","A better place to live","No","(VOL) Refused","Democrat",0,1,1
"735","TX","Disapprove","Doesn't make much difference either way","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",0,0,0
"736","TX","Disapprove","Doesn't make much difference either way","Yes","Voted","Democrat",0,0,1
"737","TX","Approve","A worse place to live","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",1,0,0
"738","TX","Disapprove","Doesn't make much difference either way","No","(VOL) Refused","Democrat",0,0,1
"742","AL","Disapprove","A worse place to live","No","Voted","(VOL) Other/Don't know/Refused",0,0,0
"743","TX","Disapprove","A better place to live","No","Did not vote (includes too young to vote)","Democrat",0,1,1
"750","TX","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"752","TX","Approve","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",1,1,0
"753","TX","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"755","TX","Approve","(VOL) Don't know/Refused","No","Voted","Republican",1,0,0
"757","AL","Disapprove","Doesn't make much difference either way","Yes","Voted","Republican",0,0,0
"758","TX","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"761","TX","Disapprove","Doesn't make much difference either way","No","(VOL) Refused","Republican",0,0,0
"762","TX","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"763","TX","Disapprove","A better place to live","Yes","Voted","Democrat",0,1,1
"768","TN","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"770","TX","Disapprove","A better place to live","No","(VOL) Refused","Democrat",0,1,1
"774","LA","Disapprove","A better place to live","No","(VOL) Refused","Republican",0,1,0
"783","TX","Disapprove","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"787","TX","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"821","KY","Approve","A worse place to live","(VOL) Don't know/Refused","(VOL) Refused","(VOL) Other/Don't know/Refused",1,0,0
"855","TX","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"856","TX","Approve","Doesn't make much difference either way","Yes","Voted","Republican",1,0,0
"858","TX","Disapprove","A better place to live","Yes","Did not vote (includes too young to vote)","Democrat",0,1,1
"864","KY","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"865","TX","Disapprove","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",0,0,0
"869","TX","Approve","A worse place to live","No","(VOL) Refused","Democrat",1,0,1
"870","TX","Disapprove","A better place to live","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"872","TN","Disapprove","A worse place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,0,0
"876","TX","Disapprove","A better place to live","No","(VOL) Refused","Republican",0,1,0
"879","TN","(VOL) Don't know/Refused","Doesn't make much difference either way","Yes","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",0,0,0
"880","TN","(VOL) Don't know/Refused","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",0,0,0
"894","MS","Approve","Doesn't make much difference either way","No","Voted","Democrat",1,0,1
"895","KY","Approve","A worse place to live","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"898","KY","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"901","OK","Approve","A worse place to live","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"917","TX","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"924","LA","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"925","TX","Approve","Doesn't make much difference either way","No","(VOL) Refused","(VOL) Other/Don't know/Refused",1,0,0
"926","MS","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"937","TX","Disapprove","A worse place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,0,0
"941","TX","Disapprove","A better place to live","No","Voted","Democrat",0,1,1
"942","TX","Disapprove","Doesn't make much difference either way","No","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",0,0,0
"944","TX","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"960","TN","Disapprove","A better place to live","No","(VOL) Refused","Democrat",0,1,1
"963","TN","Disapprove","A better place to live","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"964","TX","Disapprove","A better place to live","No","Voted","Democrat",0,1,1
"968","TX","Approve","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",1,1,0
"977","LA","Approve","A worse place to live","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"983","TX","Disapprove","Doesn't make much difference either way","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",0,0,0
"990","TX","Disapprove","Doesn't make much difference either way","No","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",0,0,0
"1003","KY","Disapprove","A better place to live","No","Voted","Democrat",0,1,1
"1012","TX","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1015","OK","(VOL) Don't know/Refused","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",0,0,0
"1019","TX","Approve","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",1,1,0
"1022","TX","Disapprove","A better place to live","No","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",0,1,0
"1029","KY","Approve","Doesn't make much difference either way","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",1,0,0
"1047","AL","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1049","TX","Disapprove","(VOL) Don't know/Refused","No","Did not vote (includes too young to vote)","Democrat",0,0,1
"1061","KY","Disapprove","A better place to live","No","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",0,1,0
"1063","TX","Disapprove","Doesn't make much difference either way","Yes","Voted","(VOL) Other/Don't know/Refused",0,0,0
"1065","AL","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1067","AR","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1077","TN","Approve","A better place to live","No","Voted","Republican",1,1,0
"1097","KY","Approve","Doesn't make much difference either way","Yes","(VOL) Refused","Democrat",1,0,1
"1109","TN","Disapprove","A better place to live","No","(VOL) Refused","Democrat",0,1,1
"1110","KY","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1119","TN","Disapprove","A better place to live","No","Voted","Democrat",0,1,1
"1120","KY","Approve","Doesn't make much difference either way","Yes","Did not vote (includes too young to vote)","Republican",1,0,0
"1121","LA","Disapprove","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",0,0,0
"1126","TX","Approve","A worse place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1128","OK","(VOL) Don't know/Refused","(VOL) Don't know/Refused","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,0,0
"1130","TX","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1131","TX","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1133","LA","Disapprove","Doesn't make much difference either way","No","(VOL) Refused","Democrat",0,0,1
"1134","TX","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1138","TX","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1139","MS","Approve","Doesn't make much difference either way","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",1,0,0
"1140","AL","Approve","A better place to live","Yes","Voted","Republican",1,1,0
"1141","AL","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1156","TX","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1158","TX","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1163","OK","Disapprove","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"1179","TX","Disapprove","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",0,0,0
"1187","TN","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1202","TX","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1211","MS","Approve","A better place to live","No","Voted","Democrat",1,1,1
"1213","TX","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1222","TX","Disapprove","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"1224","TX","Disapprove","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",0,0,0
"1229","TX","(VOL) Don't know/Refused","A better place to live","Yes","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"1230","OK","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1281","TX","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1296","KY","Approve","(VOL) Don't know/Refused","Yes","Voted","Republican",1,0,0
"1304","KY","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1310","TX","Approve","A better place to live","No","Voted","Republican",1,1,0
"1311","TX","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
